secondaryMetabolites,genesInCluster
NRPS,4
NRPS,5
NRPS,4
NRPS,10
NRPS,11
NRPS,7
siderophore,9
siderophore,6
bacteriocin,4
bacteriocin,7
bacteriocin,5
bacteriocin,18
bacteriocin,2
bacteriocin,1
bacteriocin,2
bacteriocin,7
bacteriocin,6
hglE-KS,2
hglE-KS,3
hglE-KS,6
hglE-KS,10
sactipeptide,14
sactipeptide,9
sactipeptide,3
sactipeptide,20
arylpolyene,10
arylpolyene,3
arylpolyene,4
arylpolyene,2
arylpolyene,42
arylpolyene,2
arylpolyene,4
betalactone,19
betalactone,28
betalactone,11
betalactone,27
hserlactone,12
NRPS-like,5
NRPS-like,4
NRPS-like,26
NRPS-like,5
NRPS-like,3
NRPS-like,4
NRPS-like,10
terpene,7
terpene,20
terpene,19
terpene,6
terpene,17
T1PKS,7
T3PKS,3
PUFA,3
resorcinol,3
